nome_municipio;id_municipio;dist_base_atendimento_km;score_final_medio
Amparo do Serra;3102506;157.84205668563513;0.36908847053039184
Andrelândia;3102803;127.76164870114576;0.4187963379815687
Aricanduva;3104452;290.8005488155674;0.2637990512843351
Açucena;3100500;200.5879747884632;0.3297504845688753
Barbacena;3105608;124.3768257593006;0.4328903008163511
Belo Oriente;3106309;198.2078324446461;0.373647929341021
Bertópolis;3106606;500.2533004106976;0.19370359644214158
Bicas;3106903;216.26018611144085;0.32598401163592805
Bonfim;3108107;40.58068399767123;0.6365655143602004
Bonito de Minas;3108255;519.6737994694744;0.19036776945398
Cachoeira Dourada;3109808;546.4505830204978;0.19608577895576482
Cachoeira de Minas;3109709;208.5055147551644;0.33766355971475676
Cachoeira de Pajeú;3102704;528.6844853045661;0.25452426093248715
Candeias;3112000;47.20198456411082;0.6131480591220653
Capelinha;3112307;309.2668560842254;0.26689914169143464
Capetinga;3112406;232.0016920168639;0.3060707530539859
Caraí;3113008;406.24472184518584;0.21854935989735363
Careaçu;3113602;174.35654473646105;0.37706975581145113
Carmésia;3113800;148.17543910621762;0.3799633020620797
Carvalhos;3114808;149.62852577142672;0.38124624842238297
Coluna;3116803;240.4918661742756;0.2974766265725039
Comendador Gomes;3116902;457.23924279560924;0.23059700200487152
Conceição das Alagoas;3117306;380.74180613177913;0.2508022411139237
Conquista;3118205;296.1966986309146;0.29136992839022724
Conselheiro Lafaiete;3118304;88.78841763651533;0.4982051574035101
Couto de Magalhães de Minas;3120102;224.37467703777088;0.3097318990783131
Córrego Danta;3119807;148.64846308515644;0.48126716759369426
Descoberto;3121308;210.1734044984479;0.3232911600904191
Dom Bosco;3122470;427.8789125876101;0.21658939236061203
Dom Viçoso;3122801;176.12547059076292;0.34736007500175803
Dores de Campos;3123007;95.8444865217002;0.48579489568718376
Fernandes Tourinho;3125804;239.85224805147286;0.2973445993167833
Fervedouro;3125952;217.4167707335317;0.31659210713016595
Galiléia;3127305;299.0253528094921;0.26847249437946713
Guapé;3128105;113.19007261260228;0.43994252501451947
Guidoval;3128808;197.6580342597367;0.3358260817068335
Ibirité;3129806;16.378681446805405;0.7679594293791223
Iguatama;3130309;108.62092618877081;0.47604861640773904
Ipanema;3131208;260.4501219467059;0.2899826955118296
Ipiaçu;3131406;579.9740960935629;0.19121594561927346
Itabirinha;3131802;347.9234359690727;0.24400976848476283
Itamarati de Minas;3132602;216.50396036463528;0.31301551959894913
Itambé do Mato Dentro;3132800;110.86817802628127;0.4395900463904888
Iturama;3134400;570.3632417510335;0.21473774165711368
Jacutinga;3134905;255.68552326161466;0.3047943730615253
Ladainha;3137007;366.394018948611;0.22979989800957062
Lagoa dos Patos;3137304;334.6787148486404;0.24539492798354712
Lajinha;3137700;270.0690411153644;0.2840465270982349
Lamim;3137908;119.0453346477796;0.42612609929707923
Leopoldina;3138401;237.6236737632754;0.3146471108539916
Lima Duarte;3138609;166.11710595351767;0.3678122723230814
Maravilhas;3139706;71.41864533961505;0.5381897536237543
