ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1997;REGIÃO SUDESTE;SP;GASOLINA C;3515109;EMBU-GUACU                    ;4968030
1997;REGIÃO SUL;SC;GASOLINA C;4202201;BENEDITO NOVO                 ;1040000
1997;REGIÃO SUL;SC;GASOLINA C;4208307;ITAPEMA                       ;7177300
1997;REGIÃO SUL;SC;GASOLINA C;4211901;PALHOCA                       ;16668416
1997;REGIÃO SUL;SC;GASOLINA C;4217101;SAO MARTINHO                  ;498000
1997;REGIÃO SUDESTE;SP;GASOLINA C;3502708;APIAI                         ;2146000
1997;REGIÃO SUDESTE;SP;GASOLINA C;3522652;ITAPIRAPUA PAULISTA           ;133850
1997;REGIÃO SUL;PR;GASOLINA C;4101502;ARAPONGAS                     ;15462400
1997;REGIÃO SUL;PR;GASOLINA C;4103106;BOCAIUVA DO SUL               ;763791
1997;REGIÃO SUL;PR;GASOLINA C;4104803;CASCAVEL                      ;42417110
1997;REGIÃO SUL;PR;GASOLINA C;4104900;CASTRO                        ;9261290
1997;REGIÃO SUL;PR;GASOLINA C;4105206;CERRO AZUL                    ;706350
1997;REGIÃO SUL;PR;GASOLINA C;4105800;COLOMBO                       ;13443100
1997;REGIÃO SUL;PR;GASOLINA C;4106903;CURITIBA                      ;422165437
1997;REGIÃO SUL;PR;GASOLINA C;4109600;GUARATUBA                     ;4814300
1997;REGIÃO SUL;PR;GASOLINA C;4110102;IMBITUVA                      ;1932890
1997;REGIÃO SUL;PR;GASOLINA C;4118200;PARANAGUA                     ;18760945
1997;REGIÃO SUL;PR;GASOLINA C;4119908;PONTA GROSSA                  ;45490870
1997;REGIÃO SUL;PR;GASOLINA C;4120604;PRUDENTOPOLIS                 ;3401970
1997;REGIÃO SUL;PR;GASOLINA C;4120809;QUATRO BARRAS                 ;2030150
1997;REGIÃO SUL;PR;GASOLINA C;4124405;SANTO ANTONIO DO SUDOESTE     ;1602070
1997;REGIÃO SUL;PR;GASOLINA C;4127609;TIJUCAS DO SUL                ;1995400
1997;REGIÃO SUL;PR;GASOLINA C;4127889;TUNAS DO PARANA               ;88100
1997;REGIÃO SUL;PR;GASOLINA C;4128630;DOUTOR ULYSSES                ;104000
1997;REGIÃO SUL;SC;GASOLINA C;4203607;CAMPOS NOVOS                  ;5035100
1997;REGIÃO SUL;SC;GASOLINA C;4207904;IRINEOPOLIS                   ;919220
1997;REGIÃO SUL;SC;GASOLINA C;4215001;RIO NEGRINHO                  ;4958400
1997;REGIÃO SUDESTE;SP;GASOLINA C;3502201;ANGATUBA                      ;2431150
1997;REGIÃO SUDESTE;SP;GASOLINA C;3507009;BOITUVA                       ;7033480
1997;REGIÃO SUDESTE;SP;GASOLINA C;3510301;CAPELA DO ALTO                ;1366450
1997;REGIÃO SUDESTE;SP;GASOLINA C;3523900;ITU                           ;33718400
1997;REGIÃO SUDESTE;SP;GASOLINA C;3537900;PILAR DO SUL                  ;4078010
1997;REGIÃO SUDESTE;SP;GASOLINA C;3545806;SANTA BARBARA D'OESTE         ;22052180
1997;REGIÃO SUDESTE;SP;GASOLINA C;3554503;TIETE                         ;7358280
1997;REGIÃO NORTE;RO;GASOLINA C;1100025;ARIQUEMES                     ;8505939
1997;REGIÃO NORTE;RO;GASOLINA C;1100041;CACOAL                        ;5675300
1997;REGIÃO NORTE;RO;GASOLINA C;1100050;ROLIM DE MOURA                ;4067250
1997;REGIÃO NORTE;RO;GASOLINA C;1100068;CEREJEIRAS                    ;1420400
1997;REGIÃO NORTE;RO;GASOLINA C;1100092;ESPIGAO D'OESTE               ;1231200
1997;REGIÃO NORTE;RO;GASOLINA C;1100122;JI-PARANA                     ;11021830
1997;REGIÃO NORTE;RO;GASOLINA C;1100181;PIMENTA BUENO                 ;3697300
1997;REGIÃO NORTE;RO;GASOLINA C;1100203;PORTO VELHO                   ;45168218
1997;REGIÃO NORTE;RO;GASOLINA C;1100300;VILHENA                       ;12368257
1997;REGIÃO NORTE;RO;GASOLINA C;1100343;ALVORADA D'OESTE              ;801450
1997;REGIÃO NORTE;RO;GASOLINA C;1100408;PRESIDENTE MEDICI             ;2957650
1997;REGIÃO NORTE;PA;GASOLINA C;1500805;ANANINDEUA                    ;20581600
1997;REGIÃO NORTE;PA;GASOLINA C;1501402;BELEM                         ;119535655
1997;REGIÃO NORTE;PA;GASOLINA C;1501500;BENEVIDES                     ;2300000
1997;REGIÃO NORTE;PA;GASOLINA C;1501801;BREVES                        ;2307100
1997;REGIÃO NORTE;PA;GASOLINA C;1502409;CASTANHAL                     ;16570750
1997;REGIÃO NORTE;PA;GASOLINA C;1502700;CONCEICAO DO ARAGUAIA         ;1368850
1997;REGIÃO NORTE;PA;GASOLINA C;1504207;MARABA                        ;14268000
1997;REGIÃO NORTE;PA;GASOLINA C;1505505;PARAGOMINAS                   ;5869850
1997;REGIÃO NORTE;PA;GASOLINA C;1506137;RONDON DO PARA                ;1810200
1997;REGIÃO NORTE;TO;GASOLINA C;1700057;ALIANCA DO TOCANTINS          ;5590250
1997;REGIÃO NORTE;TO;GASOLINA C;1700154;ALVORADA                      ;19189250
1997;REGIÃO NORTE;TO;GASOLINA C;1700308;ARAGUACU                      ;590000
1997;REGIÃO NORTE;TO;GASOLINA C;1700359;ARAGUAINA                     ;12030200
1997;REGIÃO NORTE;TO;GASOLINA C;1700405;ARAGUATINS                    ;846600
1997;REGIÃO NORTE;TO;GASOLINA C;1701002;CRISTALANDIA                  ;341200
1997;REGIÃO NORTE;TO;GASOLINA C;1701100;DOIS IRMAOS DO TOCANTINS      ;95000
1997;REGIÃO NORTE;TO;GASOLINA C;1701207;FATIMA                        ;1477740
1997;REGIÃO NORTE;TO;GASOLINA C;1701258;FIGUEIROPOLIS                 ;9007210
1997;REGIÃO NORTE;TO;GASOLINA C;1701355;FORMOSO DO ARAGUAIA           ;738300
1997;REGIÃO NORTE;TO;GASOLINA C;1701452;GUARAI                        ;1989350
1997;REGIÃO NORTE;TO;GASOLINA C;1701509;GURUPI                        ;11282270
1997;REGIÃO NORTE;TO;GASOLINA C;1701754;MIRACEMA DO TOCANTINS         ;1400000
1997;REGIÃO NORTE;TO;GASOLINA C;1701800;MIRANORTE                     ;680000
1997;REGIÃO NORTE;TO;GASOLINA C;1701908;NATIVIDADE                    ;538000
1997;REGIÃO NORTE;TO;GASOLINA C;1702009;NOVA OLINDA                   ;818330
1997;REGIÃO NORTE;TO;GASOLINA C;1702033;NOVA ROSALANDIA               ;365000
1997;REGIÃO NORTE;TO;GASOLINA C;1702106;PALMEIROPOLIS                 ;412000
1997;REGIÃO NORTE;TO;GASOLINA C;1702157;PARAISO DO TOCANTINS          ;5445850
1997;REGIÃO NORTE;TO;GASOLINA C;1702556;PORTO NACIONAL                ;27178190
1997;REGIÃO NORTE;TO;GASOLINA C;1702602;PRESIDENTE KENNEDY            ;350000
1997;REGIÃO NORTE;TO;GASOLINA C;1702670;SANTA ROSA DO TOCANTINS       ;115000
1997;REGIÃO NORTE;TO;GASOLINA C;1702920;PALMAS                        ;14082000
1997;REGIÃO NORTE;TO;GASOLINA C;1703005;TOCANTINOPOLIS                ;1738450
1997;REGIÃO NORTE;TO;GASOLINA C;1703056;XAMBIOA                       ;60400
1997;REGIÃO NORTE;TO;GASOLINA C;1708252;FORTALEZA DO TABOCAO          ;105350
1997;REGIÃO NORDESTE;MA;GASOLINA C;2102803;CAROLINA                      ;1066000
1997;REGIÃO NORDESTE;MA;GASOLINA C;2103303;CODO                          ;2199700
1997;REGIÃO NORDESTE;MA;GASOLINA C;2105306;IMPERATRIZ                    ;18065350
1997;REGIÃO NORDESTE;MA;GASOLINA C;2107007;MONTES ALTOS                  ;202400
1997;REGIÃO NORDESTE;MA;GASOLINA C;2109000;PORTO FRANCO                  ;1157000
