ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
2001;REGIÃO SUDESTE;SP;ETANOL;3529708;MIGUELOPOLIS;326000
2001;REGIÃO SUDESTE;SP;ETANOL;3529807;MINEIROS DO TIETE;166000
2001;REGIÃO SUDESTE;SP;ETANOL;3529658;MESOPOLIS;3000
2001;REGIÃO SUDESTE;SP;ETANOL;3529906;MIRACATU;529900
2001;REGIÃO SUDESTE;SP;ETANOL;3530003;MIRA ESTRELA;158000
2001;REGIÃO SUDESTE;SP;ETANOL;3530102;MIRANDOPOLIS;318700
2001;REGIÃO SUDESTE;SP;ETANOL;3530201;MIRANTE DO PARANAPANEMA;140000
2001;REGIÃO SUDESTE;SP;ETANOL;3530300;MIRASSOL;2654046
2001;REGIÃO SUDESTE;SP;ETANOL;3530409;MIRASSOLANDIA;59000
2001;REGIÃO SUDESTE;SP;ETANOL;3530508;MOCOCA;3994900
2001;REGIÃO SUDESTE;SP;ETANOL;3530607;MOGI DAS CRUZES;6835526
2001;REGIÃO SUDESTE;SP;ETANOL;3530706;MOGI GUACU;7089302
2001;REGIÃO SUDESTE;SP;ETANOL;3530805;MOGI MIRIM;6042233
2001;REGIÃO SUDESTE;SP;ETANOL;3530904;MOMBUCA;115000
2001;REGIÃO SUDESTE;SP;ETANOL;3531001;MONCOES;54000
2001;REGIÃO SUDESTE;SP;ETANOL;3531100;MONGAGUA;969161
2001;REGIÃO SUDESTE;SP;ETANOL;3531209;MONTE ALEGRE DO SUL;288000
2001;REGIÃO SUDESTE;SP;ETANOL;3531308;MONTE ALTO;1466005
2001;REGIÃO SUDESTE;SP;ETANOL;3531407;MONTE APRAZIVEL;101150
2001;REGIÃO SUDESTE;SP;ETANOL;3531506;MONTE AZUL PAULISTA;671101
2001;REGIÃO SUL;SC;ETANOL;4211108;MONTE CASTELO;175500
2001;REGIÃO SUDESTE;SP;ETANOL;3531704;MONTEIRO LOBATO;105000
2001;REGIÃO SUDESTE;SP;ETANOL;3531803;MONTE MOR;1554500
2001;REGIÃO SUDESTE;SP;ETANOL;3531902;MORRO AGUDO;728050
2001;REGIÃO SUDESTE;SP;ETANOL;3532009;MORUNGABA;478500
2001;REGIÃO SUDESTE;SP;ETANOL;3532058;MOTUCA;19970
2001;REGIÃO SUDESTE;SP;ETANOL;3532108;MURUTINGA DO SUL;50000
2001;REGIÃO SUDESTE;SP;ETANOL;3532157;NANTES;5000
2001;REGIÃO SUDESTE;SP;ETANOL;3532207;NARANDIBA;10000
2001;REGIÃO SUDESTE;SP;ETANOL;3532306;NATIVIDADE DA SERRA;120000
2001;REGIÃO SUDESTE;SP;ETANOL;3532405;NAZARE PAULISTA;328300
2001;REGIÃO SUDESTE;SP;ETANOL;3532504;NEVES PAULISTA;65000
2001;REGIÃO SUDESTE;SP;ETANOL;3532603;NHANDEARA;282550
2001;REGIÃO SUDESTE;SP;ETANOL;3532702;NIPOA;39000
2001;REGIÃO SUDESTE;SP;ETANOL;3532801;NOVA ALIANCA;50000
2001;REGIÃO SUDESTE;SP;ETANOL;3532827;NOVA CAMPINA;20000
2001;REGIÃO SUDESTE;SP;ETANOL;3532843;NOVA CANAA PAULISTA;47800
2001;REGIÃO SUDESTE;SP;ETANOL;3532900;NOVA EUROPA;66000
