ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504455;MEDICILANDIA;352010
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504604;MOCAJUBA;889381
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504703;MOJU;3701913
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504802;MONTE ALEGRE;5713159
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1504901;MUANA;1073600
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505007;NOVA TIMBOTEUA;684646
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505106;OBIDOS;5449083
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505205;OEIRAS DO PARA;748576
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505304;ORIXIMINA;22964652
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505403;OUREM;2399900
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505437;OURILANDIA DO NORTE;3607239
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505486;PACAJA;876316
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505502;PARAGOMINAS;35216248
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505536;PARAUAPEBAS;13230570
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505700;PONTA DE PEDRAS;1261308
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505809;PORTEL;4726431
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1505908;PORTO DE MOZ;1693134
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506005;PRAINHA;3708731
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506104;PRIMAVERA;719276
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506138;REDENCAO;25562475
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506161;RIO MARIA;5626387
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506187;RONDON DO PARA;6276995
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506195;RUROPOLIS;272699
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506203;SALINOPOLIS;909649
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506302;SALVATERRA;655844
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506500;SANTA ISABEL DO PARA;7293369
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506583;SANTA MARIA DAS BARREI;182453
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506609;SANTA MARIA DO PARA;1485179
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506708;SANTANA DO ARAGUAIA;15063154
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1506807;SANTAREM;35513807
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1507003;SANTO ANTONIO DO TAUA;393028
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1507102;SAO CAETANO DE ODIVELA;170400
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1507201;SAO DOMINGOS DO CAPIM;4289278
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1507300;SAO FELIX DO XINGU;59646557
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1507409;SAO FRANCISCO DO PARA;969600
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1507508;SAO JOAO DO ARAGUAIA;2233715
1990;REGIÃO NORTE;PA;ÓLEO DIESEL;1507607;SAO MIGUEL DO GUAMA;6808288
