ANO;UF;ID_MUNICIPIO;COMBUSTIVEL;VOLUME_VENDAS_M3
2010;31;3110608;GASOLINA;4517000.0
2010;31;3110707;DIESEL;1957000.0
2010;31;3110707;ETANOL;539000.0
2010;31;3110707;GASOLINA;2283200.0
2010;31;3110806;DIESEL;3699000.0
2010;31;3110806;ETANOL;639500.0
2010;31;3110806;GASOLINA;1200500.0
2010;31;3110905;DIESEL;12862000.0
2010;31;3110905;ETANOL;927000.0
2010;31;3110905;GASOLINA;3092400.0
2010;31;3111002;DIESEL;3763440.0
2010;31;3111002;ETANOL;924960.0
2010;31;3111002;GASOLINA;3534670.0
2010;31;3111101;DIESEL;3709000.0
2010;31;3111101;ETANOL;1088500.0
2010;31;3111101;GASOLINA;3334000.0
2010;31;3111150;DIESEL;308000.0
2010;31;3111150;ETANOL;20000.0
2010;31;3111150;GASOLINA;277000.0
2010;31;3111200;DIESEL;7078400.0
2010;31;3111200;ETANOL;1426400.0
2010;31;3111200;GASOLINA;10095150.0
2010;31;3111309;DIESEL;1024500.0
2010;31;3111309;ETANOL;279000.0
2010;31;3111309;GASOLINA;1110000.0
2010;31;3111408;DIESEL;8815000.0
2010;31;3111408;ETANOL;432000.0
2010;31;3111408;GASOLINA;1155000.0
2010;31;3111507;DIESEL;1520000.0
2010;31;3111507;ETANOL;430000.0
2010;31;3111507;GASOLINA;1615000.0
2010;31;3111606;DIESEL;2160000.0
2010;31;3111606;ETANOL;756000.0
2010;31;3111606;GASOLINA;2721000.0
2010;31;3111705;DIESEL;575000.0
2010;31;3111705;ETANOL;105500.0
2010;31;3111705;GASOLINA;763500.0
2010;31;3111804;DIESEL;7165150.0
2010;31;3111804;ETANOL;640835.0
2010;31;3111804;GASOLINA;1268500.0
2010;31;3111903;DIESEL;1180000.0
2010;31;3111903;ETANOL;180000.0
2010;31;3111903;GASOLINA;1035000.0
2010;31;3112000;DIESEL;1738000.0
2010;31;3112000;ETANOL;250000.0
2010;31;3112000;GASOLINA;1815000.0
2010;31;3112059;DIESEL;460000.0
2010;31;3112059;ETANOL;53000.0
2010;31;3112059;GASOLINA;260000.0
2010;31;3112109;DIESEL;1208000.0
2010;31;3112109;ETANOL;70000.0
2010;31;3112109;GASOLINA;532000.0
2010;31;3112208;DIESEL;116000.0
2010;31;3112208;ETANOL;28000.0
2010;31;3112208;GASOLINA;290000.0
2010;31;3112307;DIESEL;9800000.0
2010;31;3112307;ETANOL;535000.0
2010;31;3112307;GASOLINA;5800000.0
2010;31;3112406;DIESEL;1689500.0
2010;31;3112406;ETANOL;477500.0
2010;31;3112406;GASOLINA;566500.0
2010;31;3112505;DIESEL;377000.0
2010;31;3112505;ETANOL;89000.0
2010;31;3112505;GASOLINA;578000.0
2010;31;3112604;DIESEL;7294000.0
2010;31;3112604;ETANOL;743000.0
2010;31;3112604;GASOLINA;2301500.0
2010;31;3112653;DIESEL;159000.0
2010;31;3112653;ETANOL;84000.0
2010;31;3112653;GASOLINA;443000.0
2010;31;3112703;DIESEL;1648000.0
2010;31;3112703;ETANOL;109000.0
2010;31;3112703;GASOLINA;558000.0
2010;31;3112802;DIESEL;4700000.0
2010;31;3112802;ETANOL;490000.0
2010;31;3112802;GASOLINA;2830000.0
2010;31;3112901;DIESEL;395500.0
2010;31;3112901;ETANOL;179500.0
2010;31;3112901;GASOLINA;843000.0
2010;31;3113008;DIESEL;464500.0
2010;31;3113008;ETANOL;50000.0
2010;31;3113008;GASOLINA;742000.0
2010;31;3113107;DIESEL;117000.0
2010;31;3113107;GASOLINA;144000.0
2010;31;3113206;DIESEL;5465747.0
2010;31;3113206;ETANOL;707000.0
2010;31;3113206;GASOLINA;3381000.0
2010;31;3113305;DIESEL;2838500.0
2010;31;3113305;ETANOL;572000.0
2010;31;3113305;GASOLINA;4992000.0
2010;31;3113404;DIESEL;10439087.0
2010;31;3113404;ETANOL;3819610.0
2010;31;3113404;GASOLINA;16216197.0
2010;31;3113503;DIESEL;2281980.0
2010;31;3113503;ETANOL;104500.0
2010;31;3113503;GASOLINA;1251288.0
2010;31;3113602;DIESEL;19950205.0
2010;31;3113602;ETANOL;652000.0
2010;31;3113602;GASOLINA;2217000.0
2010;31;3113701;DIESEL;2190169.0
2010;31;3113701;ETANOL;385000.0
2010;31;3113701;GASOLINA;2132000.0
2010;31;3113909;DIESEL;9060000.0
2010;31;3113909;ETANOL;905000.0
2010;31;3113909;GASOLINA;2050000.0
2010;31;3114006;DIESEL;1128500.0
2010;31;3114006;ETANOL;228000.0
2010;31;3114006;GASOLINA;1366500.0
2010;31;3114105;DIESEL;562000.0
2010;31;3114105;ETANOL;152000.0
2010;31;3114105;GASOLINA;1291000.0
2010;31;3114204;DIESEL;3018000.0
2010;31;3114204;ETANOL;920000.0
2010;31;3114204;GASOLINA;3199000.0
2010;31;3114303;DIESEL;21091000.0
2010;31;3114303;ETANOL;1538500.0
2010;31;3114303;GASOLINA;5040000.0
2010;31;3114402;DIESEL;4127000.0
2010;31;3114402;ETANOL;1650000.0
2010;31;3114402;GASOLINA;3375000.0
2010;31;3114501;DIESEL;15548000.0
2010;31;3114501;ETANOL;567000.0
2010;31;3114501;GASOLINA;3266000.0
2010;31;3114550;DIESEL;6618100.0
2010;31;3114550;ETANOL;882200.0
2010;31;3114550;GASOLINA;1591000.0
2010;31;3114600;DIESEL;405000.0
2010;31;3114600;ETANOL;100000.0
2010;31;3114600;GASOLINA;475000.0
2010;31;3114709;DIESEL;238000.0
2010;31;3114709;ETANOL;87000.0
2010;31;3114709;GASOLINA;332000.0
2010;31;3114808;DIESEL;300000.0
2010;31;3114808;ETANOL;117000.0
2010;31;3114808;GASOLINA;410000.0
2010;31;3114907;DIESEL;195000.0
2010;31;3114907;ETANOL;34000.0
2010;31;3114907;GASOLINA;193000.0
2010;31;3115003;DIESEL;275500.0
2010;31;3115003;ETANOL;99500.0
2010;31;3115003;GASOLINA;297500.0
2010;31;3115102;DIESEL;4975000.0
2010;31;3115102;ETANOL;1314000.0
2010;31;3115102;GASOLINA;2750000.0
2010;31;3115201;DIESEL;175000.0
2010;31;3115201;ETANOL;21000.0
2010;31;3115201;GASOLINA;191000.0
2010;31;3115300;DIESEL;6136000.0
2010;31;3115300;ETANOL;1404000.0
2010;31;3115300;GASOLINA;9828000.0
2010;31;3115359;DIESEL;15612500.0
2010;31;3115359;ETANOL;217500.0
2010;31;3115359;GASOLINA;867500.0
2010;31;3115409;DIESEL;204000.0
2010;31;3115409;ETANOL;12000.0
2010;31;3115409;GASOLINA;266000.0
2010;31;3115458;DIESEL;1624000.0
2010;31;3115458;ETANOL;229200.0
2010;31;3115458;GASOLINA;1118000.0
2010;31;3115474;DIESEL;195000.0
2010;31;3115474;ETANOL;23000.0
2010;31;3115474;GASOLINA;205000.0
2010;31;3115508;DIESEL;2021000.0
2010;31;3115508;ETANOL;859000.0
2010;31;3115508;GASOLINA;4310000.0
2010;31;3115607;DIESEL;105000.0
2010;31;3115706;DIESEL;343000.0
2010;31;3115706;ETANOL;193500.0
2010;31;3115706;GASOLINA;946500.0
2010;31;3115805;DIESEL;3139500.0
2010;31;3115805;ETANOL;782000.0
2010;31;3115805;GASOLINA;1638500.0
2010;31;3115904;DIESEL;140000.0
2010;31;3115904;GASOLINA;165000.0
2010;31;3116001;DIESEL;321000.0
2010;31;3116001;ETANOL;132500.0
2010;31;3116001;GASOLINA;586000.0
2010;31;3116100;DIESEL;220000.0
2010;31;3116100;ETANOL;35000.0
2010;31;3116100;GASOLINA;315000.0
2010;31;3116159;DIESEL;2191000.0
2010;31;3116159;ETANOL;70000.0
2010;31;3116159;GASOLINA;327000.0
2010;31;3116209;DIESEL;525000.0
2010;31;3116209;ETANOL;85000.0
2010;31;3116209;GASOLINA;340000.0
2010;31;3116308;DIESEL;151000.0
2010;31;3116308;GASOLINA;389000.0
2010;31;3116407;DIESEL;280000.0
2010;31;3116407;ETANOL;90000.0
2010;31;3116407;GASOLINA;260000.0
2010;31;3116506;DIESEL;1160000.0
2010;31;3116506;ETANOL;140000.0
2010;31;3116506;GASOLINA;556000.0
2010;31;3116605;DIESEL;7469500.0
2010;31;3116605;ETANOL;1105000.0
2010;31;3116605;GASOLINA;5556000.0
2010;31;3116704;DIESEL;883000.0
2010;31;3116704;ETANOL;268500.0
2010;31;3116704;GASOLINA;1143500.0
2010;31;3116803;DIESEL;390000.0
2010;31;3116803;ETANOL;78000.0
2010;31;3116803;GASOLINA;1033000.0
2010;31;3116902;DIESEL;1255000.0
2010;31;3116902;ETANOL;85000.0
2010;31;3116902;GASOLINA;357000.0
2010;31;3117009;DIESEL;514000.0
2010;31;3117009;ETANOL;59000.0
2010;31;3117009;GASOLINA;473000.0
2010;31;3117108;DIESEL;675500.0
2010;31;3117108;ETANOL;370000.0
2010;31;3117108;GASOLINA;1437000.0
2010;31;3117207;DIESEL;250000.0
2010;31;3117207;ETANOL;33000.0
2010;31;3117207;GASOLINA;292000.0
2010;31;3117306;DIESEL;22500200.0
2010;31;3117306;ETANOL;961908.0
2010;31;3117306;GASOLINA;2308000.0
2010;31;3117405;DIESEL;214000.0
2010;31;3117405;ETANOL;82500.0
2010;31;3117405;GASOLINA;517500.0
2010;31;3117504;DIESEL;4405000.0
2010;31;3117504;ETANOL;305000.0
2010;31;3117504;GASOLINA;1815000.0
2010;31;3117603;DIESEL;2204500.0
2010;31;3117603;ETANOL;182000.0
2010;31;3117603;GASOLINA;501000.0
2010;31;3117702;DIESEL;1892000.0
2010;31;3117702;ETANOL;427000.0
2010;31;3117702;GASOLINA;1652500.0
2010;31;3117801;DIESEL;1130000.0
2010;31;3117801;ETANOL;285000.0
2010;31;3117801;GASOLINA;1245000.0
2010;31;3117836;DIESEL;811000.0
2010;31;3117836;ETANOL;10000.0
2010;31;3117836;GASOLINA;255000.0
2010;31;3117876;DIESEL;913000.0
2010;31;3117876;ETANOL;1465000.0
2010;31;3117876;GASOLINA;596000.0
2010;31;3117900;DIESEL;2958000.0
2010;31;3117900;ETANOL;520000.0
2010;31;3117900;GASOLINA;1861500.0
2010;31;3118007;DIESEL;80961227.0
2010;31;3118007;ETANOL;2074130.0
2010;31;3118007;GASOLINA;12606696.0
2010;31;3118106;DIESEL;257000.0
2010;31;3118106;ETANOL;33500.0
2010;31;3118106;GASOLINA;330500.0
2010;31;3118205;DIESEL;1846000.0
2010;31;3118205;ETANOL;150000.0
2010;31;3118205;GASOLINA;751500.0
2010;31;3118304;DIESEL;14661500.0
2010;31;3118304;ETANOL;3312500.0
2010;31;3118304;GASOLINA;24716160.0
2010;31;3118403;DIESEL;1397000.0
2010;31;3118403;ETANOL;301000.0
2010;31;3118403;GASOLINA;2412000.0
2010;31;3118502;DIESEL;106000.0
2010;31;3118502;ETANOL;27000.0
2010;31;3118502;GASOLINA;122000.0
2010;31;3118601;DIESEL;178264352.0
2010;31;3118601;ETANOL;52977553.0
2010;31;3118601;GASOLINA;209139385.0
2010;31;3118700;DIESEL;700000.0
2010;31;3118700;ETANOL;189000.0
2010;31;3118700;GASOLINA;1070000.0
2010;31;3118809;DIESEL;1713000.0
2010;31;3118809;ETANOL;263000.0
2010;31;3118809;GASOLINA;1869000.0
2010;31;3118908;DIESEL;440000.0
2010;31;3118908;ETANOL;100000.0
2010;31;3118908;GASOLINA;545000.0
2010;31;3119005;DIESEL;254000.0
2010;31;3119005;ETANOL;92000.0
2010;31;3119005;GASOLINA;405000.0
2010;31;3119104;DIESEL;5841000.0
2010;31;3119104;ETANOL;1023000.0
2010;31;3119104;GASOLINA;3570000.0
2010;31;3119203;DIESEL;463000.0
2010;31;3119203;ETANOL;68500.0
2010;31;3119203;GASOLINA;664000.0
2010;31;3119302;DIESEL;9125500.0
2010;31;3119302;ETANOL;1287500.0
2010;31;3119302;GASOLINA;5057000.0
2010;31;3119401;DIESEL;7817000.0
2010;31;3119401;ETANOL;3414000.0
2010;31;3119401;GASOLINA;18730500.0
2010;31;3119500;DIESEL;886000.0
2010;31;3119500;ETANOL;53000.0
2010;31;3119500;GASOLINA;605000.0
2010;31;3119609;DIESEL;47000.0
2010;31;3119609;ETANOL;35000.0
2010;31;3119609;GASOLINA;158000.0
2010;31;3119708;DIESEL;233000.0
2010;31;3119708;ETANOL;32000.0
2010;31;3119708;GASOLINA;232000.0
2010;31;3119807;DIESEL;11166300.0
2010;31;3119807;ETANOL;673500.0
2010;31;3119807;GASOLINA;2187500.0
2010;31;3119906;DIESEL;290000.0
2010;31;3119906;ETANOL;145000.0
2010;31;3119906;GASOLINA;455000.0
2010;31;3119955;DIESEL;3667000.0
2010;31;3119955;ETANOL;155000.0
2010;31;3119955;GASOLINA;752000.0
2010;31;3120003;DIESEL;83000.0
2010;31;3120003;ETANOL;40000.0
2010;31;3120003;GASOLINA;127000.0
2010;31;3120102;DIESEL;790000.0
2010;31;3120102;ETANOL;185000.0
2010;31;3120102;GASOLINA;1225000.0
2010;31;3120151;DIESEL;216000.0
2010;31;3120151;ETANOL;31000.0
2010;31;3120151;GASOLINA;293000.0
2010;31;3120201;DIESEL;842000.0
2010;31;3120201;ETANOL;251000.0
2010;31;3120201;GASOLINA;1323000.0
2010;31;3120300;DIESEL;532000.0
2010;31;3120300;GASOLINA;323000.0
2010;31;3120409;DIESEL;2724500.0
2010;31;3120409;ETANOL;308500.0
2010;31;3120409;GASOLINA;1407000.0
2010;31;3120508;DIESEL;1093000.0
2010;31;3120508;ETANOL;180000.0
2010;31;3120508;GASOLINA;1306000.0
2010;31;3120607;DIESEL;513000.0
2010;31;3120607;ETANOL;80000.0
2010;31;3120607;GASOLINA;592000.0
